microbiome1,microbiome2,association
Actinomyces naeslundii,Actinomyces viscosus,229
Actinomyces naeslundii,Corynebacterium matruchotii,5
Actinomyces naeslundii,Rothia dentocariosa,10
Actinomyces naeslundii,Rothia mucilaginosa,1
Actinomyces naeslundii,Propionibacterium acnes,12
Actinomyces naeslundii,Propionibacterium propionicum,1
Actinomyces naeslundii,Prevotella melaninogenica,12
Actinomyces naeslundii,Streptococcus cristatus,2
Actinomyces naeslundii,Streptococcus gordonii,70
Actinomyces naeslundii,Streptococcus mitis,64
Actinomyces naeslundii,Streptococcus parasanguinis,1
Actinomyces naeslundii,Streptococcus salivarius,42
Actinomyces naeslundii,Streptococcus sanguinis,165
Actinomyces naeslundii,Selenomonas noxia,6
Actinomyces naeslundii,Veillonella parvula,35
Actinomyces naeslundii,Fusobacterium nucleatum,106
Actinomyces naeslundii,Eikenella corrodens,17
Actinomyces naeslundii,Neisseria sicca,1
Actinomyces naeslundii,Neisseria subflava,3
Actinomyces naeslundii,Campylobacter concisus,7
Actinomyces naeslundii,Campylobacter showae,3
Actinomyces naeslundii,Aggregatibacter aphrophilus,1
Actinomyces naeslundii,Haemophilus influenzae,1
Actinomyces naeslundii,Haemophilus parainfluenzae,4
Actinomyces viscosus,Corynebacterium matruchotii,4
Actinomyces viscosus,Rothia dentocariosa,9
Actinomyces viscosus,Propionibacterium acnes,13
Actinomyces viscosus,Propionibacterium propionicum,1
Actinomyces viscosus,Prevotella melaninogenica,11
Actinomyces viscosus,Streptococcus gordonii,15
Actinomyces viscosus,Streptococcus mitis,55
Actinomyces viscosus,Streptococcus parasanguinis,1
Actinomyces viscosus,Streptococcus salivarius,54
Actinomyces viscosus,Streptococcus sanguinis,224
Actinomyces viscosus,Selenomonas noxia,3
Actinomyces viscosus,Veillonella parvula,11
Actinomyces viscosus,Fusobacterium nucleatum,75
Actinomyces viscosus,Eikenella corrodens,22
Actinomyces viscosus,Neisseria sicca,2
Actinomyces viscosus,Neisseria subflava,1
Actinomyces viscosus,Campylobacter concisus,2
Actinomyces viscosus,Campylobacter showae,3
Actinomyces viscosus,Haemophilus influenzae,1
Actinomyces viscosus,Haemophilus parainfluenzae,3
Corynebacterium matruchotii,Rothia dentocariosa,4
Corynebacterium matruchotii,Propionibacterium acnes,1
Corynebacterium matruchotii,Streptococcus cristatus,2
Corynebacterium matruchotii,Streptococcus gordonii,1
Corynebacterium matruchotii,Streptococcus mitis,2
Corynebacterium matruchotii,Streptococcus salivarius,1
Corynebacterium matruchotii,Streptococcus sanguinis,3
Corynebacterium matruchotii,Fusobacterium nucleatum,3
Corynebacterium matruchotii,Neisseria elongata,1
Corynebacterium matruchotii,Neisseria sicca,1
Rothia aeria,Rothia dentocariosa,2
Rothia aeria,Rothia mucilaginosa,3
Rothia aeria,Streptococcus mitis,1
Rothia dentocariosa,Rothia mucilaginosa,8
Rothia dentocariosa,Propionibacterium acnes,1
Rothia dentocariosa,Propionibacterium propionicum,1
Rothia dentocariosa,Gemella sanguinis,1
Rothia dentocariosa,Granulicatella adiacens,2
Rothia dentocariosa,Streptococcus gordonii,2
Rothia dentocariosa,Streptococcus mitis,3
Rothia dentocariosa,Streptococcus parasanguinis,1
Rothia dentocariosa,Streptococcus salivarius,3
Rothia dentocariosa,Streptococcus sanguinis,6
Rothia dentocariosa,Streptococcus vestibularis,1
Rothia dentocariosa,Selenomonas noxia,1
Rothia dentocariosa,Veillonella parvula,3
Rothia dentocariosa,Fusobacterium nucleatum,3
Rothia dentocariosa,Lautropia mirabilis,2
Rothia dentocariosa,Eikenella corrodens,3
Rothia dentocariosa,Neisseria elongata,1
Rothia dentocariosa,Neisseria meningitidis,1
Rothia dentocariosa,Cardiobacterium hominis,2
Rothia dentocariosa,Haemophilus parainfluenzae,2
Rothia mucilaginosa,Propionibacterium propionicum,1
Rothia mucilaginosa,Prevotella melaninogenica,1
Rothia mucilaginosa,Granulicatella adiacens,1
Rothia mucilaginosa,Streptococcus mitis,4
Rothia mucilaginosa,Streptococcus salivarius,2
Rothia mucilaginosa,Streptococcus sanguinis,2
Rothia mucilaginosa,Selenomonas noxia,1
Rothia mucilaginosa,Veillonella parvula,1
Rothia mucilaginosa,Lautropia mirabilis,1
Rothia mucilaginosa,Eikenella corrodens,1
Rothia mucilaginosa,Neisseria elongata,1
Rothia mucilaginosa,Neisseria flavescens,1
Rothia mucilaginosa,Neisseria subflava,1
Rothia mucilaginosa,Cardiobacterium hominis,1
Rothia mucilaginosa,Haemophilus parainfluenzae,2
Propionibacterium acnes,Propionibacterium propionicum,4
Propionibacterium acnes,Prevotella melaninogenica,13
Propionibacterium acnes,Streptococcus gordonii,4
Propionibacterium acnes,Streptococcus mitis,18
Propionibacterium acnes,Streptococcus salivarius,8
Propionibacterium acnes,Streptococcus sanguinis,23
Propionibacterium acnes,Selenomonas noxia,3
Propionibacterium acnes,Veillonella parvula,11
Propionibacterium acnes,Fusobacterium nucleatum,48
Propionibacterium acnes,Eikenella corrodens,7
Propionibacterium acnes,Neisseria meningitidis,1
Propionibacterium acnes,Campylobacter concisus,1
Propionibacterium acnes,Haemophilus haemolyticus,1
Propionibacterium acnes,Haemophilus influenzae,35
Propionibacterium acnes,Haemophilus parainfluenzae,1
Propionibacterium propionicum,Prevotella melaninogenica,1
Propionibacterium propionicum,Granulicatella adiacens,1
Propionibacterium propionicum,Streptococcus mitis,1
Propionibacterium propionicum,Streptococcus sanguinis,2
Propionibacterium propionicum,Selenomonas noxia,1
Propionibacterium propionicum,Fusobacterium nucleatum,1
Propionibacterium propionicum,Lautropia mirabilis,1
Propionibacterium propionicum,Eikenella corrodens,1
Propionibacterium propionicum,Cardiobacterium hominis,1
Propionibacterium propionicum,Haemophilus parainfluenzae,1
Porphyromonas catoniae,Prevotella melaninogenica,2
Porphyromonas catoniae,Fusobacterium nucleatum,3
Porphyromonas catoniae,Neisseria flavescens,1
Porphyromonas catoniae,Campylobacter showae,1
Alloprevotella tannerae,Prevotella melaninogenica,1
Prevotella melaninogenica,Granulicatella adiacens,1
Prevotella melaninogenica,Streptococcus gordonii,2
Prevotella melaninogenica,Streptococcus mitis,19
Prevotella melaninogenica,Streptococcus salivarius,5
Prevotella melaninogenica,Streptococcus sanguinis,26
Prevotella melaninogenica,Selenomonas noxia,3
Prevotella melaninogenica,Veillonella parvula,21
Prevotella melaninogenica,Fusobacterium nucleatum,75
Prevotella melaninogenica,Eikenella corrodens,28
Prevotella melaninogenica,Neisseria cinerea,1
Prevotella melaninogenica,Neisseria meningitidis,1
Prevotella melaninogenica,Neisseria sicca,1
Prevotella melaninogenica,Neisseria subflava,1
Prevotella melaninogenica,Campylobacter concisus,2
Prevotella melaninogenica,Campylobacter showae,1
Prevotella melaninogenica,Aggregatibacter segnis,1
Prevotella melaninogenica,Haemophilus influenzae,19
Prevotella melaninogenica,Haemophilus parainfluenzae,3
Gemella sanguinis,Granulicatella adiacens,2
Gemella sanguinis,Streptococcus cristatus,1
Gemella sanguinis,Streptococcus gordonii,2
Gemella sanguinis,Streptococcus mitis,4
Gemella sanguinis,Streptococcus parasanguinis,2
Gemella sanguinis,Streptococcus salivarius,3
Gemella sanguinis,Streptococcus sanguinis,8
Gemella sanguinis,Streptococcus vestibularis,1
Gemella sanguinis,Eikenella corrodens,1
Gemella sanguinis,Neisseria meningitidis,1
Granulicatella adiacens,Streptococcus gordonii,3
Granulicatella adiacens,Streptococcus mitis,7
Granulicatella adiacens,Streptococcus parasanguinis,2
Granulicatella adiacens,Streptococcus salivarius,2
Granulicatella adiacens,Streptococcus sanguinis,2
Granulicatella adiacens,Streptococcus vestibularis,1
Granulicatella adiacens,Selenomonas noxia,2
Granulicatella adiacens,Veillonella parvula,2
Granulicatella adiacens,Fusobacterium nucleatum,5
Granulicatella adiacens,Lautropia mirabilis,1
Granulicatella adiacens,Eikenella corrodens,2
Granulicatella adiacens,Neisseria elongata,1
Granulicatella adiacens,Neisseria subflava,1
Granulicatella adiacens,Campylobacter concisus,1
Granulicatella adiacens,Cardiobacterium hominis,2
Granulicatella adiacens,Haemophilus parainfluenzae,1
Streptococcus cristatus,Streptococcus gordonii,18
Streptococcus cristatus,Streptococcus mitis,22
Streptococcus cristatus,Streptococcus parasanguinis,13
Streptococcus cristatus,Streptococcus salivarius,14
Streptococcus cristatus,Streptococcus sanguinis,22
Streptococcus cristatus,Streptococcus tigurinus,3
Streptococcus cristatus,Streptococcus vestibularis,1
Streptococcus cristatus,Selenomonas noxia,1
Streptococcus cristatus,Veillonella parvula,1
Streptococcus cristatus,Fusobacterium nucleatum,9
Streptococcus cristatus,Eikenella corrodens,1
Streptococcus gordonii,Streptococcus mitis,135
Streptococcus gordonii,Streptococcus parasanguinis,27
Streptococcus gordonii,Streptococcus salivarius,74
Streptococcus gordonii,Streptococcus sanguinis,247
Streptococcus gordonii,Streptococcus tigurinus,4
Streptococcus gordonii,Streptococcus vestibularis,13
Streptococcus gordonii,Selenomonas noxia,3
Streptococcus gordonii,Veillonella parvula,18
Streptococcus gordonii,Fusobacterium nucleatum,65
Streptococcus gordonii,Eikenella corrodens,6
Streptococcus gordonii,Neisseria meningitidis,1
Streptococcus gordonii,Neisseria subflava,2
Streptococcus gordonii,Campylobacter concisus,1
Streptococcus gordonii,Campylobacter showae,2
Streptococcus gordonii,Haemophilus influenzae,2
Streptococcus gordonii,Haemophilus parainfluenzae,1
Streptococcus mitis,Streptococcus parasanguinis,28
Streptococcus mitis,Streptococcus salivarius,417
Streptococcus mitis,Streptococcus sanguinis,481
Streptococcus mitis,Streptococcus tigurinus,13
Streptococcus mitis,Streptococcus vestibularis,18
Streptococcus mitis,Selenomonas noxia,4
Streptococcus mitis,Veillonella parvula,28
Streptococcus mitis,Fusobacterium nucleatum,75
Streptococcus mitis,Eikenella corrodens,17
Streptococcus mitis,Neisseria cinerea,1
Streptococcus mitis,Neisseria elongata,4
Streptococcus mitis,Neisseria flavescens,1
Streptococcus mitis,Neisseria meningitidis,9
Streptococcus mitis,Neisseria sicca,8
Streptococcus mitis,Neisseria subflava,6
Streptococcus mitis,Campylobacter concisus,5
Streptococcus mitis,Campylobacter showae,6
Streptococcus mitis,Cardiobacterium hominis,1
Streptococcus mitis,Aggregatibacter segnis,2
Streptococcus mitis,Haemophilus influenzae,22
Streptococcus mitis,Haemophilus parainfluenzae,9
Streptococcus parasanguinis,Streptococcus salivarius,26
Streptococcus parasanguinis,Streptococcus sanguinis,34
Streptococcus parasanguinis,Streptococcus tigurinus,1
Streptococcus parasanguinis,Streptococcus vestibularis,7
Streptococcus parasanguinis,Veillonella parvula,3
Streptococcus parasanguinis,Fusobacterium nucleatum,1
Streptococcus salivarius,Streptococcus sanguinis,392
Streptococcus salivarius,Streptococcus vestibularis,24
Streptococcus salivarius,Veillonella parvula,18
Streptococcus salivarius,Fusobacterium nucleatum,34
Streptococcus salivarius,Eikenella corrodens,3
Streptococcus salivarius,Neisseria meningitidis,3
Streptococcus salivarius,Neisseria sicca,4
Streptococcus salivarius,Haemophilus influenzae,6
Streptococcus salivarius,Haemophilus parainfluenzae,3
Streptococcus sanguinis,Streptococcus tigurinus,3
Streptococcus sanguinis,Streptococcus vestibularis,16
Streptococcus sanguinis,Selenomonas noxia,8
Streptococcus sanguinis,Veillonella parvula,34
Streptococcus sanguinis,Fusobacterium nucleatum,156
Streptococcus sanguinis,Lautropia mirabilis,1
Streptococcus sanguinis,Eikenella corrodens,34
Streptococcus sanguinis,Neisseria meningitidis,14
Streptococcus sanguinis,Neisseria sicca,6
Streptococcus sanguinis,Neisseria subflava,6
Streptococcus sanguinis,Campylobacter concisus,7
Streptococcus sanguinis,Campylobacter showae,3
Streptococcus sanguinis,Cardiobacterium hominis,1
Streptococcus sanguinis,Aggregatibacter aphrophilus,2
Streptococcus sanguinis,Haemophilus influenzae,21
Streptococcus sanguinis,Haemophilus parainfluenzae,13
Streptococcus tigurinus,Fusobacterium nucleatum,1
Selenomonas noxia,Veillonella parvula,9
Selenomonas noxia,Fusobacterium nucleatum,16
Selenomonas noxia,Lautropia mirabilis,1
Selenomonas noxia,Eikenella corrodens,10
Selenomonas noxia,Campylobacter concisus,1
Selenomonas noxia,Campylobacter showae,3
Selenomonas noxia,Cardiobacterium hominis,1
Selenomonas noxia,Haemophilus parainfluenzae,1
Veillonella parvula,Fusobacterium nucleatum,76
Veillonella parvula,Eikenella corrodens,26
Veillonella parvula,Neisseria flavescens,1
Veillonella parvula,Neisseria sicca,3
Veillonella parvula,Neisseria subflava,4
Veillonella parvula,Campylobacter concisus,6
Veillonella parvula,Campylobacter showae,6
Veillonella parvula,Aggregatibacter segnis,1
Veillonella parvula,Haemophilus influenzae,3
Veillonella parvula,Haemophilus parainfluenzae,3
Fusobacterium nucleatum,Eikenella corrodens,229
Fusobacterium nucleatum,Neisseria elongata,1
Fusobacterium nucleatum,Neisseria flavescens,1
Fusobacterium nucleatum,Neisseria meningitidis,3
Fusobacterium nucleatum,Neisseria sicca,3
Fusobacterium nucleatum,Neisseria subflava,9
Fusobacterium nucleatum,Campylobacter concisus,12
Fusobacterium nucleatum,Campylobacter showae,9
Fusobacterium nucleatum,Cardiobacterium hominis,1
Fusobacterium nucleatum,Aggregatibacter aphrophilus,3
Fusobacterium nucleatum,Aggregatibacter segnis,4
Fusobacterium nucleatum,Haemophilus influenzae,23
Fusobacterium nucleatum,Haemophilus parainfluenzae,3
Lautropia mirabilis,Eikenella corrodens,1
Lautropia mirabilis,Neisseria elongata,1
Lautropia mirabilis,Cardiobacterium hominis,2
Lautropia mirabilis,Haemophilus parainfluenzae,3
Eikenella corrodens,Neisseria cinerea,1
Eikenella corrodens,Neisseria elongata,3
Eikenella corrodens,Neisseria flavescens,1
Eikenella corrodens,Neisseria meningitidis,12
Eikenella corrodens,Neisseria sicca,2
Eikenella corrodens,Neisseria subflava,2
Eikenella corrodens,Campylobacter concisus,13
Eikenella corrodens,Campylobacter showae,5
Eikenella corrodens,Cardiobacterium hominis,40
Eikenella corrodens,Aggregatibacter aphrophilus,9
Eikenella corrodens,Aggregatibacter segnis,1
Eikenella corrodens,Haemophilus haemolyticus,1
Eikenella corrodens,Haemophilus influenzae,22
Eikenella corrodens,Haemophilus parainfluenzae,17
Neisseria cinerea,Neisseria elongata,7
Neisseria cinerea,Neisseria flavescens,20
Neisseria cinerea,Neisseria meningitidis,40
Neisseria cinerea,Neisseria sicca,22
Neisseria cinerea,Neisseria subflava,21
Neisseria cinerea,Cardiobacterium hominis,1
Neisseria cinerea,Aggregatibacter segnis,1
Neisseria cinerea,Haemophilus influenzae,3
Neisseria cinerea,Haemophilus parainfluenzae,1
Neisseria elongata,Neisseria flavescens,7
Neisseria elongata,Neisseria meningitidis,15
Neisseria elongata,Neisseria sicca,6
Neisseria elongata,Neisseria subflava,4
Neisseria elongata,Cardiobacterium hominis,2
Neisseria elongata,Haemophilus parainfluenzae,1
Neisseria flavescens,Neisseria meningitidis,34
Neisseria flavescens,Neisseria sicca,23
Neisseria flavescens,Neisseria subflava,20
Neisseria flavescens,Aggregatibacter segnis,1
Neisseria flavescens,Haemophilus influenzae,1
Neisseria meningitidis,Neisseria sicca,44
Neisseria meningitidis,Neisseria subflava,42
Neisseria meningitidis,Campylobacter concisus,1
Neisseria meningitidis,Cardiobacterium hominis,2
Neisseria meningitidis,Haemophilus haemolyticus,1
Neisseria meningitidis,Haemophilus influenzae,1490
Neisseria meningitidis,Haemophilus parainfluenzae,10
Neisseria sicca,Neisseria subflava,36
Neisseria sicca,Haemophilus influenzae,6
Neisseria sicca,Haemophilus parainfluenzae,4
Neisseria subflava,Campylobacter concisus,1
Neisseria subflava,Aggregatibacter segnis,1
Neisseria subflava,Haemophilus influenzae,6
Neisseria subflava,Haemophilus parainfluenzae,6
Campylobacter concisus,Campylobacter showae,13
Campylobacter concisus,Aggregatibacter aphrophilus,1
Campylobacter concisus,Aggregatibacter segnis,1
Campylobacter showae,Haemophilus influenzae,1
Cardiobacterium hominis,Aggregatibacter aphrophilus,6
Cardiobacterium hominis,Aggregatibacter segnis,1
Cardiobacterium hominis,Haemophilus influenzae,3
Cardiobacterium hominis,Haemophilus parainfluenzae,13
Aggregatibacter aphrophilus,Aggregatibacter segnis,4
Aggregatibacter aphrophilus,Haemophilus haemolyticus,1
Aggregatibacter aphrophilus,Haemophilus influenzae,6
Aggregatibacter aphrophilus,Haemophilus parainfluenzae,5
Aggregatibacter segnis,Haemophilus haemolyticus,1
Aggregatibacter segnis,Haemophilus influenzae,1
Aggregatibacter segnis,Haemophilus parainfluenzae,1
Haemophilus haemolyticus,Haemophilus influenzae,106
Haemophilus haemolyticus,Haemophilus parainfluenzae,36
Haemophilus influenzae,Haemophilus parainfluenzae,486
Bifidobacterium bifidum,Bifidobacterium longum,255
Bifidobacterium bifidum,Bacteroides dorei,1
Bifidobacterium bifidum,Bacteroides fragilis,16
Bifidobacterium bifidum,Bacteroides thetaiotaomicron,2
Bifidobacterium bifidum,Bacteroides vulgatus,6
Bifidobacterium bifidum,Streptococcus salivarius,6
Bifidobacterium bifidum,Clostridium leptum,6
Bifidobacterium bifidum,Eubacterium hallii,1
Bifidobacterium bifidum,Ruminococcus obeum,2
Bifidobacterium bifidum,Roseburia intestinalis,1
Bifidobacterium bifidum,Faecalibacterium prausnitzii,5
Bifidobacterium bifidum,Veillonella parvula,1
Bifidobacterium bifidum,Escherichia coli,107
Bifidobacterium bifidum,Akkermansia muciniphila,3
Bifidobacterium longum,Bacteroides caccae,3
Bifidobacterium longum,Bacteroides fragilis,32
Bifidobacterium longum,Bacteroides thetaiotaomicron,18
Bifidobacterium longum,Bacteroides vulgatus,18
Bifidobacterium longum,Parabacteroides distasonis,1
Bifidobacterium longum,Parabacteroides johnsonii,1
Bifidobacterium longum,Alistipes finegoldii,1
Bifidobacterium longum,Streptococcus salivarius,12
Bifidobacterium longum,Clostridium leptum,7
Bifidobacterium longum,Eubacterium hallii,2
Bifidobacterium longum,Ruminococcus obeum,4
Bifidobacterium longum,Dorea longicatena,1
Bifidobacterium longum,Roseburia hominis,1
Bifidobacterium longum,Roseburia intestinalis,3
Bifidobacterium longum,Roseburia inulinivorans,1
Bifidobacterium longum,Faecalibacterium prausnitzii,10
Bifidobacterium longum,Veillonella parvula,2
Bifidobacterium longum,Sutterella wadsworthensis,1
Bifidobacterium longum,Bilophila wadsworthia,3
Bifidobacterium longum,Desulfovibrio desulfuricans,1
Bifidobacterium longum,Escherichia coli,158
Bifidobacterium longum,Akkermansia muciniphila,5
Bacteroides caccae,Bacteroides dorei,1
Bacteroides caccae,Bacteroides fragilis,24
Bacteroides caccae,Bacteroides thetaiotaomicron,25
Bacteroides caccae,Bacteroides vulgatus,23
Bacteroides caccae,Parabacteroides distasonis,3
Bacteroides caccae,Parabacteroides merdae,1
Bacteroides caccae,Faecalibacterium prausnitzii,2
Bacteroides caccae,Bilophila wadsworthia,5
Bacteroides caccae,Escherichia coli,11
Bacteroides dorei,Bacteroides fragilis,1
Bacteroides dorei,Bacteroides thetaiotaomicron,3
Bacteroides dorei,Bacteroides vulgatus,11
Bacteroides dorei,Parabacteroides goldsteinii,1
Bacteroides dorei,Roseburia intestinalis,1
Bacteroides dorei,Faecalibacterium prausnitzii,2
Bacteroides dorei,Escherichia coli,3
Bacteroides fragilis,Bacteroides thetaiotaomicron,345
Bacteroides fragilis,Bacteroides vulgatus,223
Bacteroides fragilis,Parabacteroides distasonis,9
Bacteroides fragilis,Parabacteroides merdae,2
Bacteroides fragilis,Alistipes finegoldii,3
Bacteroides fragilis,Streptococcus salivarius,7
Bacteroides fragilis,Clostridium bolteae,1
Bacteroides fragilis,Clostridium leptum,18
Bacteroides fragilis,Eubacterium hallii,2
Bacteroides fragilis,Ruminococcus obeum,2
Bacteroides fragilis,Faecalibacterium prausnitzii,15
Bacteroides fragilis,Veillonella parvula,11
Bacteroides fragilis,Sutterella wadsworthensis,4
Bacteroides fragilis,Bilophila wadsworthia,35
Bacteroides fragilis,Desulfovibrio desulfuricans,2
Bacteroides fragilis,Escherichia coli,1410
Bacteroides fragilis,Haemophilus parainfluenzae,4
Bacteroides fragilis,Akkermansia muciniphila,7
Bacteroides thetaiotaomicron,Bacteroides vulgatus,165
Bacteroides thetaiotaomicron,Parabacteroides distasonis,6
Bacteroides thetaiotaomicron,Parabacteroides merdae,2
Bacteroides thetaiotaomicron,Prevotella copri,1
Bacteroides thetaiotaomicron,Alistipes finegoldii,1
Bacteroides thetaiotaomicron,Streptococcus salivarius,2
Bacteroides thetaiotaomicron,Clostridium bolteae,1
Bacteroides thetaiotaomicron,Clostridium leptum,8
Bacteroides thetaiotaomicron,Eubacterium hallii,1
Bacteroides thetaiotaomicron,Ruminococcus obeum,3
Bacteroides thetaiotaomicron,Dorea longicatena,1
Bacteroides thetaiotaomicron,Roseburia hominis,1
Bacteroides thetaiotaomicron,Roseburia intestinalis,3
Bacteroides thetaiotaomicron,Roseburia inulinivorans,1
Bacteroides thetaiotaomicron,Faecalibacterium prausnitzii,11
Bacteroides thetaiotaomicron,Veillonella parvula,4
Bacteroides thetaiotaomicron,Bilophila wadsworthia,9
Bacteroides thetaiotaomicron,Desulfovibrio desulfuricans,1
Bacteroides thetaiotaomicron,Escherichia coli,147
Bacteroides thetaiotaomicron,Haemophilus parainfluenzae,1
Bacteroides thetaiotaomicron,Akkermansia muciniphila,2
Bacteroides vulgatus,Parabacteroides distasonis,6
Bacteroides vulgatus,Parabacteroides goldsteinii,1
Bacteroides vulgatus,Parabacteroides merdae,1
Bacteroides vulgatus,Prevotella copri,3
Bacteroides vulgatus,Alistipes finegoldii,3
Bacteroides vulgatus,Streptococcus salivarius,3
Bacteroides vulgatus,Clostridium leptum,7
Bacteroides vulgatus,Ruminococcus obeum,2
Bacteroides vulgatus,Roseburia intestinalis,3
Bacteroides vulgatus,Faecalibacterium prausnitzii,8
Bacteroides vulgatus,Veillonella parvula,6
Bacteroides vulgatus,Bilophila wadsworthia,7
Bacteroides vulgatus,Desulfovibrio desulfuricans,1
Bacteroides vulgatus,Escherichia coli,111
Barnesiella intestinihominis,Coprobacter fastidiosus,1
Parabacteroides distasonis,Parabacteroides goldsteinii,2
Parabacteroides distasonis,Parabacteroides merdae,5
Parabacteroides distasonis,Prevotella copri,1
Parabacteroides distasonis,Alistipes finegoldii,3
Parabacteroides distasonis,Clostridium leptum,1
Parabacteroides distasonis,Eubacterium hallii,1
Parabacteroides distasonis,Faecalibacterium prausnitzii,3
Parabacteroides distasonis,Bilophila wadsworthia,1
Parabacteroides distasonis,Escherichia coli,5
Parabacteroides distasonis,Akkermansia muciniphila,1
Parabacteroides goldsteinii,Parabacteroides merdae,3
Parabacteroides goldsteinii,Escherichia coli,1
Parabacteroides goldsteinii,Akkermansia muciniphila,1
Parabacteroides johnsonii,Parabacteroides merdae,2
Parabacteroides johnsonii,Bilophila wadsworthia,1
Parabacteroides johnsonii,Akkermansia muciniphila,1
Prevotella copri,Alistipes finegoldii,1
Prevotella copri,Clostridium leptum,1
Prevotella copri,Roseburia intestinalis,1
Prevotella copri,Faecalibacterium prausnitzii,2
Prevotella copri,Bilophila wadsworthia,1
Prevotella copri,Escherichia coli,2
Alistipes finegoldii,Alistipes onderdonkii,1
Alistipes finegoldii,Alistipes shahii,1
Alistipes finegoldii,Faecalibacterium prausnitzii,2
Alistipes finegoldii,Bilophila wadsworthia,1
Alistipes finegoldii,Escherichia coli,2
Alistipes onderdonkii,Alistipes shahii,1
Streptococcus salivarius,Faecalibacterium prausnitzii,1
Streptococcus salivarius,Veillonella parvula,18
Streptococcus salivarius,Escherichia coli,98
Streptococcus salivarius,Haemophilus parainfluenzae,3
Streptococcus salivarius,Akkermansia muciniphila,1
Clostridium bolteae,Ruminococcus obeum,1
Clostridium bolteae,Faecalibacterium prausnitzii,2
Clostridium bolteae,Bilophila wadsworthia,1
Clostridium bolteae,Escherichia coli,1
Clostridium leptum,Eubacterium hallii,2
Clostridium leptum,Ruminococcus obeum,5
Clostridium leptum,Roseburia intestinalis,2
Clostridium leptum,Anaerotruncus colihominis,2
Clostridium leptum,Faecalibacterium prausnitzii,22
Clostridium leptum,Escherichia coli,11
Clostridium leptum,Akkermansia muciniphila,1
Eubacterium hallii,Ruminococcus obeum,2
Eubacterium hallii,Roseburia intestinalis,2
Eubacterium hallii,Faecalibacterium prausnitzii,6
Ruminococcus obeum,Roseburia hominis,1
Ruminococcus obeum,Roseburia intestinalis,1
Ruminococcus obeum,Roseburia inulinivorans,2
Ruminococcus obeum,Escherichia coli,4
Dorea formicigenerans,Dorea longicatena,1
Dorea longicatena,Anaerotruncus colihominis,1
Dorea longicatena,Faecalibacterium prausnitzii,2
Dorea longicatena,Bilophila wadsworthia,1
Dorea longicatena,Escherichia coli,1
Dorea longicatena,Akkermansia muciniphila,1
Roseburia hominis,Roseburia intestinalis,3
Roseburia hominis,Roseburia inulinivorans,3
Roseburia hominis,Faecalibacterium prausnitzii,2
Roseburia intestinalis,Roseburia inulinivorans,2
Roseburia intestinalis,Faecalibacterium prausnitzii,11
Roseburia intestinalis,Escherichia coli,3
Roseburia intestinalis,Akkermansia muciniphila,2
Roseburia inulinivorans,Faecalibacterium prausnitzii,2
Roseburia inulinivorans,Escherichia coli,3
Anaerotruncus colihominis,Escherichia coli,1
Faecalibacterium prausnitzii,Bilophila wadsworthia,4
Faecalibacterium prausnitzii,Escherichia coli,45
Faecalibacterium prausnitzii,Akkermansia muciniphila,19
Veillonella parvula,Escherichia coli,19
Veillonella parvula,Haemophilus parainfluenzae,3
Oxalobacter formigenes,Escherichia coli,17
Parasutterella excrementihominis,Escherichia coli,1
Sutterella wadsworthensis,Bilophila wadsworthia,5
Sutterella wadsworthensis,Escherichia coli,1
Bilophila wadsworthia,Desulfovibrio desulfuricans,4
Bilophila wadsworthia,Escherichia coli,16
Bilophila wadsworthia,Akkermansia muciniphila,5
Desulfovibrio desulfuricans,Escherichia coli,61
Escherichia coli,Haemophilus parainfluenzae,91
Escherichia coli,Akkermansia muciniphila,15
Propionibacterium acnes,Staphylococcus aureus,363
Propionibacterium acnes,Staphylococcus epidermidis,313
Staphylococcus aureus,Staphylococcus epidermidis,5540
Staphylococcus aureus,Dolosigranulum pigrum,3
Staphylococcus epidermidis,Dolosigranulum pigrum,1
